North America,United States,1191085
South America,Brazil,702116
Asia,India,533622
Europe,Russia,403135
North America,Mexico,334524
Europe,United Kingdom,232112
South America,Peru,220975
Europe,Italy,197081
Europe,Germany,174979
Europe,France,168091
Asia,Indonesia,162059
Asia,Iran,146837
South America,Colombia,142727
South America,Argentina,130685
Asia,China,122273
Europe,Spain,121852
Europe,Poland,120718
Europe,Ukraine,109920
Africa,South Africa,102595
Asia,Turkey,101419
Asia,Japan,74694
Europe,Romania,68809
Asia,Philippines,66864
South America,Chile,64482
North America,Canada,55218
Europe,Hungary,49051
Europe,Czechia,43507
Asia,Vietnam,43206
Europe,Greece,39127
Europe,Bulgaria,38700
Asia,Malaysia,37352
South America,Ecuador,36050
Asia,South Korea,35934
Asia,Thailand,34709
Europe,Belgium,34339
Asia,Pakistan,30656
Asia,Bangladesh,29498
Africa,Tunisia,29423
Europe,Portugal,28637
Europe,Sweden,27339
Asia,Iraq,25375
Oceania,Australia,25236
Africa,Egypt,24830
Europe,Netherlands,22986
Europe,Austria,22534
South America,Bolivia,22387
Europe,Slovakia,21226
North America,Guatemala,20203
South America,Paraguay,19880
Asia,Myanmar,19494
Asia,Kazakhstan,19072
Europe,Croatia,18752
Europe,Serbia,18057
Asia,Georgia,17150
Asia,Sri Lanka,16907
Europe,Bosnia and Herzegovina,16390
Africa,Morocco,16305
Europe,Switzerland,14170
Asia,Jordan,14122
Asia,Israel,12707
Europe,Moldova,12240
Asia,Nepal,12031
Europe,Finland,11466
North America,Honduras,11114
Asia,Lebanon,10947
Asia,Azerbaijan,10353
Europe,Slovenia,10069
Europe,North Macedonia,9977
Europe,Lithuania,9809
Europe,Denmark,9693
Europe,Ireland,9691
Asia,Saudi Arabia,9646
North America,Costa Rica,9368
Asia,Armenia,8777
North America,Panama,8733
North America,Cuba,8530
Asia,Afghanistan,7998
South America,Uruguay,7682
Africa,Ethiopia,7574
Europe,Latvia,7475
Europe,Belarus,7118
Africa,Algeria,6881
Africa,Libya,6437
North America,Puerto Rico,5938
South America,Venezuela,5856
Africa,Zimbabwe,5740
Europe,Norway,5732
Asia,Palestine,5708
Africa,Kenya,5689
Africa,Sudan,5046
Asia,Oman,4628
North America,Trinidad and Tobago,4390
North America,Dominican Republic,4384
North America,El Salvador,4230
Oceania,New Zealand,4216
Africa,Namibia,4108
Africa,Zambia,4069
Africa,Uganda,3632
Europe,Albania,3605
North America,Jamaica,3604
Europe,Kosovo,3212
Asia,Syria,3163
Africa,Nigeria,3155
Asia,Cambodia,3056
Europe,Estonia,2998
Africa,Botswana,2801
Africa,Malawi,2686
Europe,Montenegro,2654
Asia,Kuwait,2570
Asia,United Arab Emirates,2349
Africa,Mozambique,2252
Asia,Yemen,2159
Asia,Mongolia,2136
Asia,Singapore,2024
Africa,Cameroon,1974
Africa,Senegal,1971
Africa,Angola,1937
Asia,Bahrain,1536
Africa,Democratic Republic of Congo,1471
Africa,Rwanda,1468
Africa,Ghana,1462
Europe,Cyprus,1451
Africa,Madagascar,1427
Africa,Eswatini,1427
South America,Suriname,1406
Africa,Somalia,1361
South America,Guyana,1302
North America,Martinique,1104
Africa,Mauritius,1073
Asia,Kyrgyzstan,1024
North America,Guadeloupe,1021
Asia,Uzbekistan,1016
Europe,Luxembourg,1000
Africa,Mauritania,997
Africa,Reunion,921
Europe,Malta,915
Oceania,Fiji,885
North America,Haiti,860
North America,Bahamas,849
Africa,Tanzania,846
Africa,Cote d'Ivoire,835
Africa,Mali,743
Africa,Lesotho,709
Asia,Qatar,690
North America,Belize,688
Asia,Laos,671
Oceania,Papua New Guinea,670
Oceania,French Polynesia,650
North America,Barbados,593
Africa,Guinea,468
Oceania,Guam,419
Africa,Cape Verde,417
South America,French Guiana,413
North America,Saint Lucia,410
Africa,Burkina Faso,400
Africa,Congo,389
Africa,Gambia,372
Asia,Maldives,316
Africa,Niger,315
Oceania,New Caledonia,314
Africa,Gabon,307
North America,Curacao,305
Africa,Liberia,294
North America,Aruba,292
Africa,Togo,290
North America,Nicaragua,245
North America,Grenada,238
Oceania,Solomon Islands,199
Africa,Chad,194
Africa,Djibouti,189
Africa,Mayotte,187
Europe,Iceland,186
Africa,Equatorial Guinea,183
Asia,Brunei,178
Africa,Guinea-Bissau,177
Africa,Seychelles,172
North America,Bermuda,165
Africa,Benin,163
Europe,Jersey,161
Africa,Comoros,160
Europe,Andorra,159
Africa,South Sudan,147
North America,Antigua and Barbuda,146
Asia,East Timor,138
North America,United States Virgin Islands,132
Africa,Sierra Leone,126
Europe,San Marino,126
Asia,Tajikistan,125
North America,Saint Vincent and the Grenadines,124
Europe,Isle of Man,116
Europe,Gibraltar,113
Africa,Central African Republic,113
Africa,Eritrea,103
North America,Sint Maarten (Dutch part),92
Europe,Liechtenstein,89
Africa,Sao Tome and Principe,80
North America,Dominica,74
Europe,Guernsey,67
Europe,Monaco,67
Oceania,Micronesia (country),65
North America,British Virgin Islands,64
North America,Saint Kitts and Nevis,46
North America,Saint Martin (French part),46
North America,Bonaire Sint Eustatius and Saba,41
Oceania,Northern Mariana Islands,41
North America,Turks and Caicos Islands,40
North America,Cayman Islands,37
Oceania,American Samoa,34
Oceania,Samoa,31
Europe,Faroe Islands,28
Oceania,Kiribati,24
Asia,Bhutan,21
North America,Greenland,21
Oceania,Marshall Islands,17
Africa,Burundi,15
Oceania,Vanuatu,14
Oceania,Tonga,12
North America,Anguilla,12
Oceania,Palau,10
Oceania,Wallis and Futuna,9
North America,Montserrat,8
North America,Saint Barthelemy,5
North America,Saint Pierre and Miquelon,2
Oceania,Cook Islands,2
Oceania,Tuvalu,1
Oceania,Nauru,1
Europe,Vatican,0
South America,Falkland Islands,0
Africa,Saint Helena,0
Asia,North Korea,0
Oceania,Tokelau,0
Oceania,Niue,0
Asia,Turkmenistan,0
Asia,Taiwan,NULL
Europe,Northern Ireland,NULL
Asia,Northern Cyprus,NULL
Asia,Hong Kong,NULL
Africa,Western Sahara,NULL
Asia,Macao,NULL
Oceania,Pitcairn,NULL
Europe,Wales,NULL
Europe,England,NULL
Europe,Scotland,NULL
